SP ID	Military rank
1002	officer
1030	high-ranking_general
1039	lieutenant-colonel
1039	chef de bataillon
1039	capitaine
1163	officer
1185	mar残hal de camp
1189	mar残hale
1202	mar残hal de France
1222	high-ranking_general
1223	field marshal
1232	high-ranking_general
1233	mar残hal de camp
1300	captain
1323	mar残hal de France
1324	g始屍al
1324	mar残hal de France
1336	Major General
1344	high-ranking_general
1362	high-ranking_general
1412	admiral
1413	mar残hal de France
1414	mar残hal de France
1416	aide de camp
1419	colonel
1420	mar残hal g始屍al de France
1432	officer
1450	high-ranking_general
1478	high-ranking_general
1479	officer
1481	high-ranking_marshal
1589	Mar残hal de camp
1605	g始屍al
1609	mar残hal de France
1645	field marshal
1671	 mar残hal
1707	mar残hal
1709	mar残hal
1715	llieutenant g始屍al
1771	g始屍al
