SP ID	Professional Network
1000	Cultural
1001	Artist
1001	Cultural
1003	Cultural
1003	Legal
1006	Artist
1009	Education
1014	Artisan
1014	Publishing
1018	Cultural
1019	Cultural
1023	Cultural
1024	Artist
1024	Cultural
1026	Cultural
1027	Artist
1027	Cultural
1030	Artist
1030	Cultural
1033	Legal
1033	Finance-banking
1035	Artisan
1035	Legal
1035	Finance-banking
1036	Gardening-farming
1036	Legal
1038	Medical
1038	Education
1040	Other
1041	Martime
1042	Education
1042	Architecture
1042	Artist
1043	Medical
1044	Education
1044	Legal
1045	Legal
1046	Artisan
1047	Medical
1047	Education
1048	Medical
1048	Education
1049	Legal
1050	Publishing
1051	Legal
1053	Education
1054	Gardening-farming
1055	Publishing
1056	Education
1056	Legal
1059	Other
1060	Trade-merchant
1060	Finance-banking
1062	Medical
1062	Education
1063	Artisan
1064	Artist
1064	Artisan
1064	Education
1065	Legal
1069	Education
1070	Legal
1071	Legal
1071	Cultural
1072	Education
1073	Legal
1073	Education
1074	Education
1075	Other
1076	Medical
1076	Education
1077	Gardening-farming
1078	Medical
1079	Artist
1079	Architecture
1080	Artisan
1081	Education
1082	Medical
1082	Education
1085	Artisan
1086	Finance-banking
1087	Legal
1088	Medical
1088	Education
1089	Education
1089	Finance-banking
1090	Cultural
1090	Artist
1091	Cultural
1092	Artist
1092	Artisan
1093	Legal
1093	Education
1094	Medical
1094	Education
1095	Education
1096	Medical
1096	Education
1098	Legal
1100	Artisan
1100	Publishing
1100	Cultural
1102	Education
1103	Artist
1103	Artisan
1103	Education
1103	Architecture
1104	Medical
1106	Medical
1107	Education
1107	Medical
1109	Artisan
1110	Other
1111	Medical
1111	Education
1114	Legal
1115	Medical
1116	Cultural
1117	Architecture
1117	Other
1117	Education
1118	Publishing
1119	Legal
1120	Medical
1120	Education
1121	Education
1121	Finance-banking
1121	Cultural
1123	Legal
1123	Cultural
1123	Education
1124	Artist
1124	Education
1124	Artisan
1125	Education
1126	Legal
1126	Cultural
1128	Cultural
1129	Cultural
1129	Artist
1130	Other
1131	Legal
1132	Cultural
1132	Medical
1135	Legal
1135	Education
1136	Artist
1136	Cultural
1137	Medical
1138	Medical
1138	Education
1138	Legal
1141	Publishing
1142	Education
1144	Medical
1144	Education
1145	Artisan
1146	Education
1148	Medical
1149	Other
1150	Cultural
1151	Legal
1152	Medical
1152	Education
1154	Cultural
1160	Cultural
1165	Legal
1165	Cultural
1167	Cultural
1168	Artist
1168	Cultural
1171	Artist
1173	Artist
1173	Finance-banking
1176	Artist
1177	Artist
1187	Medical
1188	Aritist
1197	Artist
1200	Artist
1200	Cultural
1216	Collector
1218	Artist
1219	Artist
1220	Artist
1220	Education
1221	Artist
1226	Artist
1226	Cultural
1228	Other
1230	Artist
1231	Artist
1235	Artist
1235	Cultural
1238	Artist
1247	Artist
1248	Artist
1249	Artist
1250	Artist
1251	Artist
1251	Cultural
1252	Artisan
1259	Education
1261	Cultural
1263	Architecture
1263	Other
1271	Architecture
1274	Artist
1275	Artist
1277	Cultural
1277	Gardening-farming
1278	Education
1280	Education
1280	Medical
1280	Cultural
1282	Medical
1282	Artisan
1285	Artist
1291	Cultural
1293	Artist
1293	Cultural
1296	Cultural
1298	Legal
1307	Gardening-farming
1307	Industry
1310	Medicine
1317	Architecture
1321	Cultural
1328	Cultural
1329	Artisan
1329	Education
1329	Medical
1330	Medical
1331	Cultural
1346	Education
1350	Cultural
1351	Cultural
1352	Artist
1352	Cultural
1354	Artist
1354	Cultural
1355	Cultural
1358	Cultural
1359	Cultural
1362	Cultural
1374	Artist
1374	Cultural
1387	Artist
1387	Cultural
1396	Education
1405	Education
1406	Education
1423	Cultural
1424	Education
1425	Cultural
1431	Gardening-farming
1431	Education
1435	Legal
1455	Cultural
1457	Education
1458	Cultural
1458	Legal
1459	Cultural
1461	Artist
1461	Cultural
1462	Cultural
1465	Artist
1465	Cultural
1469	Legal
1473	Cultural
1474	Cultural
1474	Education
1475	Cultural
1477	Gardening-farming
1477	Medical
1477	Cultural
1485	Artist
1485	Cultural
1489	Cultural
1489	Legal
1494	Cultural
1497	Cultural
1512	Artist
1581	Artist
1584	Education
1594	Education
1595	Artist
1598	Artist
1599	Legal
1601	Legal
1601	Cultural
1601	Education
1617	Artist
1617	Architecture
1617	Archaeology
1625	Artist
1625	Education
1626	Artist
1626	Cultural
1627	Cultural
1632	Artist
1635	Cultural
1638	Legal
1642	Maritime
1648	Cultural
1652	Education
1655	Legal
1661	Cultural
1663	Education
1664	Cultural
1665	Medical
1666	Legal
1666	Artist
1666	Cultural
1668	Cultural
1669	Architecture
1676	Legal
1687	Medical
1687	Education
1701	Finance-banking
1715	Artist_Music
1721	Finance-banking
1724	Medical
1724	Education
1725	Cultural
1728	Education
1753	Education
1753	Artisan
1754	Artist
1756	Legal
1758	Artist
1758	Cultural
1759	Publishing
1760	Medical
1762	Cultural
1763	Legal
1763	Cultural
1766	Gardening-farming
1768	Medical
1769	Finance-banking
1770	Legal
1772	Cultural
1772	Artist
1774	Education
1774	Cultural
1776	Education
1777	Legal
